date_id,date,year,month,day,weekday,quarter
1,2010-12-01,2010,12,1,Wednesday,4
2,2010-12-02,2010,12,2,Thursday,4
3,2010-12-03,2010,12,3,Friday,4
4,2010-12-05,2010,12,5,Sunday,4
5,2010-12-06,2010,12,6,Monday,4
6,2010-12-07,2010,12,7,Tuesday,4
7,2010-12-08,2010,12,8,Wednesday,4
8,2010-12-09,2010,12,9,Thursday,4
9,2010-12-10,2010,12,10,Friday,4
10,2010-12-12,2010,12,12,Sunday,4
11,2010-12-13,2010,12,13,Monday,4
12,2010-12-14,2010,12,14,Tuesday,4
13,2010-12-15,2010,12,15,Wednesday,4
14,2010-12-16,2010,12,16,Thursday,4
15,2010-12-17,2010,12,17,Friday,4
16,2010-12-19,2010,12,19,Sunday,4
17,2010-12-20,2010,12,20,Monday,4
18,2010-12-21,2010,12,21,Tuesday,4
19,2010-12-22,2010,12,22,Wednesday,4
20,2010-12-23,2010,12,23,Thursday,4
21,2011-01-04,2011,1,4,Tuesday,1
22,2011-01-05,2011,1,5,Wednesday,1
23,2011-01-06,2011,1,6,Thursday,1
24,2011-01-07,2011,1,7,Friday,1
25,2011-01-09,2011,1,9,Sunday,1
26,2011-01-10,2011,1,10,Monday,1
27,2011-01-11,2011,1,11,Tuesday,1
28,2011-01-12,2011,1,12,Wednesday,1
29,2011-01-13,2011,1,13,Thursday,1
30,2011-01-14,2011,1,14,Friday,1
31,2011-01-16,2011,1,16,Sunday,1
32,2011-01-17,2011,1,17,Monday,1
33,2011-01-18,2011,1,18,Tuesday,1
34,2011-01-19,2011,1,19,Wednesday,1
35,2011-01-20,2011,1,20,Thursday,1
36,2011-01-21,2011,1,21,Friday,1
37,2011-01-23,2011,1,23,Sunday,1
38,2011-01-24,2011,1,24,Monday,1
39,2011-01-25,2011,1,25,Tuesday,1
40,2011-01-26,2011,1,26,Wednesday,1
41,2011-01-27,2011,1,27,Thursday,1
42,2011-01-28,2011,1,28,Friday,1
43,2011-01-30,2011,1,30,Sunday,1
44,2011-01-31,2011,1,31,Monday,1
45,2011-02-01,2011,2,1,Tuesday,1
46,2011-02-02,2011,2,2,Wednesday,1
47,2011-02-03,2011,2,3,Thursday,1
48,2011-02-04,2011,2,4,Friday,1
49,2011-02-06,2011,2,6,Sunday,1
50,2011-02-07,2011,2,7,Monday,1
51,2011-02-08,2011,2,8,Tuesday,1
52,2011-02-09,2011,2,9,Wednesday,1
53,2011-02-10,2011,2,10,Thursday,1
54,2011-02-11,2011,2,11,Friday,1
55,2011-02-13,2011,2,13,Sunday,1
56,2011-02-14,2011,2,14,Monday,1
57,2011-02-15,2011,2,15,Tuesday,1
